x,y,z
1.1735158768679727e-05,1.17398349752362e-05,-2.2023115622826772e-08
5.867261472597535e-05,8.298352613638599e-07,0.01251117572130907
7.040910479091784e-05,8.479760356063603e-07,-2.2017188463022141e-07
5.867079189287744e-05,8.638452744708342e-07,-0.012511616061367347
2.345818092802933e-05,8.729059786755063e-07,-0.025022967903115832
-3.5228141080931004e-05,8.706228411218081e-07,-0.03753423165542936
-0.0001173875049915448,8.524622624762701e-07,-0.05004536327907841
-0.00022301915954935653,8.138923666846312e-07,-0.06255631873745378
-0.00035212227139520087,7.503830165792431e-07,-0.07506705399671512
-0.0005046959250720227,6.574058293392108e-07,-0.08757752502593998
-0.0006807391230341768,5.304341920960485e-07,-0.1000876877972724
-0.0008802507856525627,3.6494327745624483e-07,-0.11259749828607193
-0.0011032297512266784,1.5641005893884767e-07,-0.1251069124710624
-0.0013496747759902709,-9.968667351088e-08,-0.13761588633448016
-0.0016195845341224694,-4.078662980387237e-07,-0.15012437586222366
-0.0019129576177546947,-7.726463454008254e-07,-0.1626323370440015
-0.0022297925369823162,-1.198542483572093e-06,-0.17513972587348162
-0.002570087719872844,-1.6900685023159518e-06,-0.18764649834843947
-0.002933841512476634,-2.2517362976830493e-06,-0.2001526104709071
-0.003321052178835628,-2.8880558566434603e-06,-0.2126580182473218
-0.0037317179009967944,-3.603535241779481e-06,-0.22516267768867465
-0.004165836779019905,-4.402680575782375e-06,-0.23766654481065883
-0.004623406830990061,-5.28999602616285e-06,-0.2501695756338189
-0.005104425993028948,-6.269983789937746e-06,-0.2626717261836987
-0.005608892119305673,-7.3471440781636175e-06,-0.27517295249099044
-0.006136802982048554,-8.525975100697238e-06,-0.28767321059168294
-0.0066881562715587015,-9.810973050907582e-06,-0.30017245652721025
-0.007262949596220873,-1.1206632090424578e-05,-0.31267064634460023
-0.007861180482516808,-1.271744433368853e-05,-0.32516773609662253
-0.008482846375036686,-1.4347899832826508e-05,-0.337663681841938
-0.009127944636495165,-1.6102486562467098e-05,-0.3501584396452462
-0.009796472547741882,-1.798569040424069e-05,-0.3626519655774345
-0.01048842730777582,-2.0001995131825566e-05,-0.37514421571572576
-0.011203806033761511,-2.215588239566931e-05,-0.3876351461438272
-0.011942605761039553,-2.445183170765963e-05,-0.400124712952079
-0.012704823443143963,-2.6894320426113926e-05,-0.4126128722376017
-0.013490455951815571,-2.9487823740553823e-05,-0.4250995801044456
-0.014299500077018357,-3.223681465658018e-05,-0.4375847926637376
-0.015131952526951863,-3.514576398065905e-05,-0.45006846603383116
-0.0159878099280704,-3.821914030507263e-05,-0.462550556340453
-0.016867068825095862,-4.146140999285697e-05,-0.4750310197168522
-0.017769725681036064,-4.487703716255893e-05,-0.48750981230394813
-0.018695776877198818,-4.84704836733468e-05,-0.4999868902504783
-0.019645218713210733,-5.2246209109791766e-05,-0.5124622097131466
-0.020618047407032658,-5.6208670766940596e-05,-0.5249357268567716
-0.02161425909497677,-6.036232363520835e-05,-0.5374073978544347
-0.0226338498317254,-6.471162038537375e-05,-0.5498771788876269
-0.023676815590346616,-6.926101135364417e-05,-0.5623450261463987
-0.02474315226231418,-7.40149445265356e-05,-0.5748108958295065
-0.025832855657524422,-7.897786552612711e-05,-0.5872747441445616
-0.026945921504314584,-8.415421759480308e-05,-0.5997365273081771
-0.028082345449482318,-8.954844158059067e-05,-0.6121962015461159
-0.029242123058304682,-9.516497592200059e-05,-0.6246537230934399
-0.03042524981455665,-0.00010100825663337893,-0.6371090481946561
-0.03163172112053127,-0.0001070827172897569,-0.6495621331038641
-0.03286153229705888,-0.00011339278901211048,-0.6620129340849064
-0.03411467858352849,-0.00011994290045258084,-0.6744614074115131
-0.03539115513790593,-0.00012673747777929977,-0.6869075093674514
-0.03669095703675581,-0.00013378094466200502,-0.6993511962466721
-0.03801407927526251,-0.0001410777222568177,-0.7117924243534577
-0.03936051676725051,-0.0001486322291916299,-0.7242311500025709
-0.04073026434520706,-0.0001564488815515011,-0.7366673295194
-0.04212331676030174,-0.00016453209286349064,-0.7491009192401071
-0.043539668682409965,-0.00017288627408214882,-0.7615318755117781
-0.04497931470013404,-0.00018151583357467382,-0.7739601546925654
-0.04644224932082741,-0.0001904251771063544,-0.7863857131518388
-0.0479284669706157,-0.0001996187078258117,-0.7988085072703324
-0.04943796199441976,-0.0002091008262500729,-0.8112284934402895
-0.05097072865597948,-0.000218875930250131,-0.8236456280656138
-0.052526761137877326,-0.0002289484150362503,-0.8360598675620119
-0.05410605354156145,-0.0002393226731433745,-0.8484711683571449
-0.05570859988737036,-0.00025000309441646184,-0.8608794868907722
-0.05733439411455633,-0.00026099406599567433,-0.8732847796149003
-0.05898343008131023,-0.000272299972301916,-0.8856870029939296
-0.060655701564788216,-0.0002839251950225227,-0.8980861135048
-0.062351202261133325,-0.00029587411309616487,-0.9104820676371411
-0.06406992578550447,-0.0003081511026989589,-0.922874821893415
-0.06581186567209807,-0.0003207605372292945,-0.9352643327890654
-0.06757701537417735,-0.00033370678729372784,-0.9476505568526646
-0.06936536826409723,-0.00034699422069222143,-0.96003345062606
-0.07117691763332953,-0.00036062720240391175,-0.9724129706645201
-0.07301165669249174,-0.00037461009457268214,-0.9847890735368812
-0.0748695785713732,-0.00038894725649219543,-0.9971617158256955
-0.07675067631896074,-0.0004036430445921744,-1.0095308541273758
-0.07865494290346757,-0.0004187018124234652,-1.021896445052343
-0.08058237121236114,-0.00043412791064396694,-1.0342584452251724
-0.08253295405239018,-0.00044992568700375217,-1.04661681128474
-0.0845066841496146,-0.00046609948633143073,-1.0589714998843702
-0.08650355414943146,-0.0004826536505193963,-1.071322467691979
-0.08852355661660533,-0.0004995925185091293,-1.083669671390223
-0.09056668403529762,-0.0005169204262778193,-1.0960130676766457
-0.09263292880909456,-0.000534641706823015,-1.1083526132638222
-0.09472228326103778,-0.0005527606901492286,-1.120688264879505
-0.09683473963365409,-0.000571281703253217,-1.133019979266772
-0.09897029008898496,-0.0005902090701097337,-1.145347713184172
-0.10112892670861605,-0.0006095471116571983,-1.1576714234058685
-0.10331064149371004,-0.0006293001457838281,-1.1699910667217894
-0.10551542636503586,-0.0006494724873133116,-1.1823065999377695
-0.10774327316300074,-0.0006700684479905469,-1.1946179798756982
-0.10999417364767973,-0.0006910923364675079,-1.2069251633736628
-0.11226811949885002,-0.0007125484582890662,-1.219228107286099
-0.11456510231602075,-0.000734441115879124,-1.2315267684839315
-0.11688511361846611,-0.0007567746085259534,-1.243821103854722
-0.11922814484525654,-0.0007795532323686207,-1.2561110703028149
-0.12159418735529398,-0.0008027812803828665,-1.2683966247494818
-0.1239832324273423,-0.0008264630423665146,-1.280677724133068
-0.12639527126006053,-0.000850602804926158,-1.292954325409136
-0.12883029497203874,-0.0008752048514628108,-1.305226385550614
-0.1312882946018301,-0.000900273462157685,-1.3174938615479372
-0.13376926110798334,-0.0009258129139584319,-1.3297567104091967
-0.1362731853690809,-0.0009518274805655881,-1.3420148891602803
-0.13880005818376887,-0.000978321432417326,-1.354268354845024
-0.14134987027079554,-0.0010052990366771321,-1.3665170645253497
-0.14392261226904446,-0.001032764557218877,-1.3787609752814156
-0.14651827473757045,-0.0010607222546131865,-1.3910000442117576
-0.14913684815563416,-0.0010891763861134694,-1.4032342284334374
-0.15177832292274013,-0.0011181312056421418,-1.4154634850821837
-0.15444268935866923,-0.0011475909637768868,-1.4276877713125402
-0.15712993770351824,-0.0011775599077367617,-1.4399070442980075
-0.15984005811773527,-0.0012080422813680036,-1.45212126123119
